company_id,student_id
C001,S0605
C001,S0420
C001,S0492
C001,S0317
C001,S0032
C001,S0080
C001,S0530
C001,S0798
C001,S0014
C001,S0453
C001,S0608
C001,S0676
C001,S0448
C001,S0507
C001,S0564
C001,S0699
C001,S0105
C001,S0751
C001,S0023
C001,S0681
C001,S0060
C001,S0167
C001,S0004
C001,S0361
C001,S0272
C001,S0140
C001,S0366
C001,S0323
C001,S0623
C001,S0728
C001,S0528
C001,S0108
C001,S0245
C001,S0746
C001,S0071
C001,S0325
C001,S0761
C001,S0765
C001,S0328
C001,S0540
C001,S0371
C001,S0612
C001,S0027
C001,S0124
C001,S0501
C001,S0191
C001,S0538
C001,S0281
C001,S0722
C001,S0668
C001,S0401
C001,S0628
C001,S0227
C001,S0402
C001,S0168
C001,S0701
C001,S0672
C001,S0735
C001,S0715
C001,S0771
C001,S0190
C001,S0755
C001,S0466
C001,S0339
C001,S0454
C001,S0275
C001,S0238
C001,S0198
C001,S0065
C001,S0404
C001,S0725
C001,S0514
C001,S0425
C001,S0344
C001,S0376
C001,S0179
C001,S0577
C001,S0618
C001,S0469
C001,S0702
C001,S0240
C001,S0719
C001,S0589
C001,S0649
C001,S0537
C001,S0688
C001,S0797
C001,S0338
C001,S0660
C001,S0603
C001,S0368
C001,S0752
C001,S0315
C001,S0459
C001,S0087
C001,S0188
C001,S0683
C001,S0318
C001,S0202
C001,S0400
C001,S0653
C001,S0730
C001,S0056
C001,S0362
C001,S0320
C001,S0381
C001,S0475
C001,S0407
C001,S0665
C001,S0651
C001,S0693
C001,S0134
C001,S0476
C001,S0234
C001,S0598
C001,S0196
C001,S0544
C001,S0212
C001,S0418
C001,S0764
C001,S0309
C001,S0712
C001,S0788
C001,S0711
C001,S0707
C001,S0554
C001,S0437
C001,S0313
C001,S0659
C001,S0575
C001,S0379
C001,S0145
C001,S0523
C001,S0776
C001,S0203
C001,S0204
C001,S0120
C001,S0410
C001,S0794
C001,S0012
C001,S0655
C001,S0287
C001,S0141
C001,S0599
C001,S0638
C001,S0119
C001,S0247
C001,S0356
C001,S0142
C001,S0419
C001,S0556
C001,S0455
C001,S0067
C001,S0677
C001,S0138
C001,S0606
C001,S0274
C001,S0622
C001,S0163
C001,S0149
C001,S0389
C001,S0029
C001,S0178
C001,S0569
C001,S0675
C001,S0058
C001,S0718
C001,S0632
C001,S0705
C001,S0551
C001,S0529
C001,S0416
C001,S0517
C002,S0747
C002,S0081
C002,S0253
C002,S0058
C002,S0761
C002,S0360
C002,S0548
C002,S0683
C002,S0794
C002,S0139
C002,S0650
C002,S0722
C002,S0038
C002,S0613
C002,S0285
C002,S0525
C002,S0420
C002,S0216
C002,S0118
C002,S0099
C002,S0084
C002,S0520
C002,S0281
C002,S0182
C002,S0559
C002,S0554
C002,S0443
C002,S0756
C002,S0311
C002,S0680
C002,S0059
C002,S0599
C002,S0790
C002,S0688
C002,S0474
C002,S0510
C002,S0283
C002,S0550
C002,S0626
C002,S0799
C002,S0401
C002,S0048
C002,S0485
C002,S0101
C002,S0200
C002,S0267
C002,S0590
C002,S0158
C002,S0140
C002,S0035
C002,S0709
C002,S0561
C002,S0031
C002,S0025
C002,S0454
C002,S0232
C002,S0350
C002,S0749
C002,S0235
C002,S0042
C002,S0770
C002,S0784
C002,S0598
C002,S0376
C002,S0184
C002,S0659
C002,S0596
C002,S0185
C002,S0366
C002,S0375
C002,S0675
C002,S0553
C002,S0523
C002,S0527
C002,S0226
C002,S0301
C002,S0036
C002,S0639
C002,S0349
C002,S0354
C002,S0201
C002,S0178
C002,S0480
C002,S0191
C002,S0050
C002,S0623
C002,S0303
C002,S0308
C002,S0347
C002,S0661
C002,S0259
C002,S0617
C002,S0759
C002,S0534
C002,S0606
C002,S0372
C002,S0332
C002,S0428
C002,S0256
C002,S0085
C002,S0107
C002,S0328
C002,S0453
C002,S0754
C002,S0030
C002,S0507
C002,S0018
C002,S0204
C002,S0183
C002,S0227
C002,S0322
C002,S0432
C002,S0002
C002,S0075
C002,S0451
C002,S0450
C002,S0021
C002,S0760
C002,S0089
C002,S0109
C002,S0126
C002,S0506
C002,S0496
C002,S0788
C002,S0071
C002,S0778
C002,S0173
C002,S0338
C002,S0310
C002,S0127
C002,S0526
C002,S0774
C002,S0045
C002,S0748
C002,S0461
C002,S0570
C002,S0437
C002,S0547
C002,S0371
C002,S0134
C002,S0693
C002,S0029
C002,S0574
C002,S0800
C002,S0007
C002,S0141
C002,S0544
C002,S0049
C002,S0473
C002,S0555
C002,S0472
C002,S0288
C002,S0567
C002,S0477
C002,S0176
C002,S0448
C002,S0707
C002,S0538
C002,S0377
C002,S0257
C003,S0068
C003,S0200
C003,S0012
C003,S0788
C003,S0185
C003,S0662
C003,S0141
C003,S0232
C003,S0332
C003,S0263
C003,S0650
C003,S0770
C003,S0712
C003,S0133
C003,S0631
C003,S0127
C003,S0747
C003,S0421
C003,S0273
C003,S0137
C003,S0202
C003,S0647
C003,S0775
C003,S0079
C003,S0481
C003,S0213
C003,S0445
C003,S0257
C003,S0469
C003,S0158
C003,S0376
C003,S0527
C003,S0111
C003,S0755
C003,S0414
C003,S0668
C003,S0529
C003,S0575
C003,S0577
